timestamp,builder,slot
2022-09-16,Vanilla Builders,5884
2022-09-17,Vanilla Builders,5752
2022-09-19,Vanilla Builders,5690
2022-09-18,Vanilla Builders,5667
2022-09-20,Vanilla Builders,5390
2022-09-21,Vanilla Builders,5129
2022-09-22,Vanilla Builders,5050
2022-09-23,Vanilla Builders,4738
2022-09-24,Vanilla Builders,4664
2022-09-25,Vanilla Builders,4637
2022-09-15,Vanilla Builders,4568
2022-09-26,Vanilla Builders,4469
2022-09-27,Vanilla Builders,4369
2022-09-28,Vanilla Builders,4114
2022-09-29,Vanilla Builders,4087
2022-10-03,Vanilla Builders,3898
2022-10-02,Vanilla Builders,3884
2022-09-30,Vanilla Builders,3881
2022-10-04,Vanilla Builders,3850
2022-10-01,Vanilla Builders,3835
2022-10-05,Vanilla Builders,3741
2022-10-06,Vanilla Builders,3738
2022-10-07,Vanilla Builders,3677
2022-10-08,Vanilla Builders,3676
2022-10-09,Vanilla Builders,3663
2022-10-10,Vanilla Builders,3484
2022-10-11,Vanilla Builders,3269
2022-10-12,Vanilla Builders,3248
2022-10-13,Vanilla Builders,3175
2022-10-14,Vanilla Builders,3092
2022-10-15,Vanilla Builders,3043
2022-10-17,Vanilla Builders,2973
2022-10-16,Vanilla Builders,2956
2022-10-19,Vanilla Builders,2941
2023-03-11,builder0x69,2915
2022-10-18,Vanilla Builders,2905
2022-10-20,Vanilla Builders,2852
2022-10-21,Vanilla Builders,2848
2023-06-25,beaverbuild.org,2807
2022-10-23,Vanilla Builders,2792
2023-06-06,beaverbuild.org,2782
2022-10-24,Vanilla Builders,2772
2022-10-22,Vanilla Builders,2770
2023-04-13,Vanilla Builders,2757
2023-07-14,beaverbuild.org,2507
2023-09-09,Titan Builder,2467
2023-06-05,beaverbuild.org,2416
2023-08-18,beaverbuild.org,2406
2023-06-15,beaverbuild.org,2381
2022-10-27,Vanilla Builders,2372
2023-01-14,beaverbuild.org,2369
2023-06-10,rsync-builder.xyz,2362
2023-01-21,builder0x69,2339
2022-10-26,Vanilla Builders,2330
2022-10-25,Vanilla Builders,2327
