entity,category,tc_blocks30,all_blocks30,censoring
🙅🏻‍♀.eth,validator,0,1,1
zyrb.eth,validator,0,5,1
zhengyabin.eth,validator,0,4,1
zenar.eth,validator,0,2,1
zebrains.eth,validator,0,1,1
zbron.eth,validator,0,1,1
yuut.eth,validator,0,1,1
xp1.eth,validator,0,5,1
xelor.eth,validator,0,2,1
x1.ilcato.eth,validator,0,19,1
wu.danielkao.eth,validator,0,1,1
writter.eth,validator,0,6,1
williamgrimes.eth,validator,0,4,1
wex exchange,validator,4,204,0
wesurvivedthemerge.eth,validator,0,3,1
wennroad.eth,validator,0,1,1
weibeler.eth,validator,0,1,1
webberz.eth,validator,0,1,1
was.eth,validator,2,76,0
wankmaggot.eth,validator,0,1,1
voiceofreason.eth,validator,0,1,1
vitriol.eth,validator,0,8,1
verylongaddress.eth,validator,0,3,1
vault.topocount.eth,validator,0,1,1
vault.gall.eth,validator,0,3,1
vanhelsing.eth,validator,0,1,1
uzura.eth,validator,0,1,1
upsum.eth,validator,0,1,1
upbit,validator,19,3950,1
ultrasoundmonkey.eth,validator,0,3,1
typeyape.eth,validator,0,3,1
twitterhandle.eth,validator,0,2,1
trist.eth,validator,1,6,0
trier.eth,validator,0,1,1
tranchess,validator,2,79,0
tonysun.eth,validator,0,1,1
tmarshall.eth,validator,0,2,1
timsu.eth,validator,0,1,1
tiedb.eth,validator,0,1,1
thunberg.eth,validator,0,1,1
thinking.eth,validator,0,6,1
themarcus.eth,validator,0,1,1
thecoldwallet.eth,validator,0,4,1
tetranode,validator,0,4,1
terrytai.eth,validator,0,1,1
teku team,validator,0,37,1
teague.eth,validator,0,2,1
taylor gerring,validator,0,60,1
tasslehoff.eth,validator,0,1,1
tamastorok.eth,validator,0,1,1
tablemountain.eth,validator,0,1,1
synergycrypto.eth,validator,0,11,1
swell,validator,25,1662,0
svensson.eth,validator,0,1,1
sunbird.eth,validator,0,3,1
sugarbounce.eth,validator,0,3,1
