validator,non_censored_blocks,all_blocks,share
tetranode,1,2,50.0
Launchnodes,1,7,14.285714285714285
prysm team,4,35,11.428571428571429
SenseiNode,1,10,10.0
Sigma Prime,136,2689,5.057642246188173
infstones,14,279,5.017921146953405
rockx,1,24,4.166666666666666
Prysmatic Labs,83,2676,3.101644245142003
sigma prime team,1,33,3.0303030303030303
bitstamp,34,1160,2.9310344827586206
Kukis Global,94,3238,2.9030265596046942
BridgeTower,79,2977,2.6536781995297276
Blockscape,102,3983,2.560883755962842
coinbase,540,21563,2.5042897555998698
ChainSafe,102,4108,2.4829600778967866
Attestant (BVI) Limited,92,3724,2.4704618689581093
stakewise,25,1015,2.4630541871921183
teku team,1,41,2.4390243902439024
P2P.ORG - P2P Validator,82,3451,2.3761228629382787
bitfinex,8,340,2.3529411764705883
Chorus One,67,2902,2.3087525844245347
poloniex,8,348,2.2988505747126435
cake defi,5,221,2.262443438914027
Stakin,124,5571,2.225812241967331
Staking Facilities,79,3592,2.1993318485523385
InfStones,113,5184,2.179783950617284
stakewise solos,1,46,2.1739130434782608
stafi,2,94,2.127659574468085
stkr,9,424,2.1226415094339623
ConsenSys Codefi,118,5612,2.10263720598717
staked.us,233,11283,2.065053620491004
stakefish,603,29744,2.0272996234534695
HashQuark,108,5329,2.026646650403453
Allnodes,141,6967,2.0238266111669296
CryptoManufaktur,57,2829,2.014846235418876
abyss finance,141,7031,2.0054046366093017
frax finance,61,3106,1.9639407598197038
kraken,238,12134,1.9614306906213945
ChainLayer,49,2605,1.8809980806142035
binance,303,16938,1.7888770811193766
Simply Staking,99,5598,1.7684887459807075
lido,27,1548,1.744186046511628
bitcoin suisse,156,9364,1.6659547202050404
Nethermind,107,6530,1.6385911179173047
okx,129,7939,1.6248897846076331
p2p.org,29,1880,1.5425531914893618
SkillZ,91,5932,1.5340525960890088
Stakely,106,7083,1.4965410136947621
sharedstake,1,68,1.4705882352941175
Everstake,95,6822,1.3925535033714453
DSRV,93,6878,1.352137249200349
rocketpool,123,9267,1.3272903852379412
kucoin,5,423,1.1820330969267139
RockX,43,3881,1.107961865498583
huobi,8,785,1.019108280254777
RockLogic GmbH,46,4542,1.0127697049757816
wex exchange,3,307,0.9771986970684038
bitpie,1,113,0.8849557522123894
swell,7,808,0.8663366336633664
everstake pool,1,182,0.5494505494505495
stakehound,8,1469,0.5445881552076242
figment,67,12785,0.5240516229956981
celsius,4,1411,0.28348688873139616
Blockdaemon,5,2647,0.18889308651303363
Figment,1,2986,0.03348961821835231
tokenpocket,0,99,0.0
staked.finance,0,9,0.0
ssv.network,0,2,0.0
node dao,0,57,0.0
nimbus team,0,38,0.0
neukind.com,0,7,0.0
mycoldwallet,0,2,0.0
missed,0,1523,0.0
mintdice.com,0,25,0.0
harbour,0,113,0.0
ethereum hive,0,16,0.0
cryptostake.com,0,53,0.0
boxfish.studio,0,1,0.0
blox staking,0,13,0.0
bifrost,0,3,0.0
Certus One,0,269,0.0
Anyblock Analytics,0,2,0.0
