date,censoring,Share_of_Blocks
2022-09-16,non-censoring,89.2444101773323
2022-09-16,censoring,10.755589822667694
2022-09-17,non-censoring,81.97222222222223
2022-09-17,censoring,18.02777777777778
2022-09-18,non-censoring,80.61649541793946
2022-09-18,censoring,19.38350458206054
2022-09-19,non-censoring,81.69698652964867
2022-09-19,censoring,18.30301347035134
2022-09-20,non-censoring,82.2941258158589
2022-09-20,censoring,17.70587418414109
2022-09-21,non-censoring,79.86390779058465
2022-09-21,censoring,20.13609220941536
2022-09-22,non-censoring,74.03499028047764
2022-09-22,censoring,25.965009719522353
2022-09-23,non-censoring,75.0069425159678
2022-09-23,censoring,24.993057484032214
2022-09-24,non-censoring,69.76583067756685
2022-09-24,censoring,30.234169322433146
2022-09-25,non-censoring,68.38032061912659
2022-09-25,censoring,31.61967938087341
2022-09-26,non-censoring,67.25919801570896
2022-09-26,censoring,32.74080198429103
2022-09-27,non-censoring,65.56766450544903
2022-09-27,censoring,34.432335494550976
2022-09-28,non-censoring,66.2270960577457
2022-09-28,censoring,33.7729039422543
2022-09-29,non-censoring,67.60259179265658
2022-09-29,censoring,32.39740820734342
2022-09-30,non-censoring,63.529570618417495
2022-09-30,censoring,36.470429381582505
2022-10-01,non-censoring,61.12676056338028
2022-10-01,censoring,38.87323943661972
2022-10-02,non-censoring,61.09262340543539
2022-10-02,censoring,38.90737659456461
2022-10-03,non-censoring,58.978263879274536
2022-10-03,censoring,41.021736120725464
2022-10-04,non-censoring,58.61973392461197
2022-10-04,censoring,41.38026607538803
2022-10-05,non-censoring,57.4371025711916
2022-10-05,censoring,42.562897428808405
2022-10-06,non-censoring,56.54885654885655
2022-10-06,censoring,43.45114345114345
2022-10-07,non-censoring,56.31418262558978
2022-10-07,censoring,43.68581737441021
2022-10-08,non-censoring,55.86522462562395
2022-10-08,censoring,44.13477537437604
2022-10-09,non-censoring,57.94729542302358
2022-10-09,censoring,42.052704576976424
2022-10-10,non-censoring,58.05108273181566
2022-10-10,censoring,41.948917268184346
2022-10-11,non-censoring,55.6557945870923
2022-10-11,censoring,44.344205412907705
2022-10-12,non-censoring,52.45674740484429
2022-10-12,censoring,47.543252595155714
2022-10-13,non-censoring,52.285318559556785
2022-10-13,censoring,47.714681440443215
2022-10-14,non-censoring,50.33872528687958
2022-10-14,censoring,49.66127471312042
2022-10-15,non-censoring,49.38578329882678
2022-10-15,censoring,50.61421670117322
2022-10-16,non-censoring,53.47231810023471
2022-10-16,censoring,46.52768189976529
2022-10-17,non-censoring,47.355303240099694
2022-10-17,censoring,52.6446967599003
2022-10-18,non-censoring,47.57563199336925
2022-10-18,censoring,52.42436800663075
2022-10-19,non-censoring,46.83999446826165
2022-10-19,censoring,53.16000553173835
2022-10-20,non-censoring,47.48580135752874
2022-10-20,censoring,52.51419864247126
2022-10-21,non-censoring,45.23512276321265
2022-10-21,censoring,54.76487723678735
2022-10-22,non-censoring,43.97182709570501
2022-10-22,censoring,56.02817290429498
2022-10-23,non-censoring,44.749045280960175
2022-10-23,censoring,55.250954719039825
2022-10-24,non-censoring,44.09221902017291
2022-10-24,censoring,55.907780979827095
2022-10-25,non-censoring,45.0261780104712
2022-10-25,censoring,54.973821989528794
2022-10-26,non-censoring,39.52309168151295
2022-10-26,censoring,60.476908318487055
2022-10-27,non-censoring,35.735029733093626
2022-10-27,censoring,64.26497026690637
2022-10-28,non-censoring,36.440209886771605
2022-10-28,censoring,63.55979011322839
2022-10-29,non-censoring,34.376723662437946
2022-10-29,censoring,65.62327633756205
2022-10-30,non-censoring,36.08487337440109
2022-10-30,censoring,63.91512662559891
2022-10-31,non-censoring,36.8313038719387
2022-10-31,censoring,63.1686961280613
2022-11-01,non-censoring,35.993418346359526
2022-11-01,censoring,64.00658165364048
2022-11-02,non-censoring,35.355070461453444
2022-11-02,censoring,64.64492953854656
2022-11-03,non-censoring,32.90509738914215
2022-11-03,censoring,67.09490261085786
2022-11-04,non-censoring,27.629578438147895
2022-11-04,censoring,72.37042156185211
2022-11-05,non-censoring,27.062388100812562
2022-11-05,censoring,72.93761189918743
2022-11-06,non-censoring,27.31040198922503
2022-11-06,censoring,72.68959801077497
2022-11-07,non-censoring,26.66482453716496
2022-11-07,censoring,73.33517546283504
2022-11-08,non-censoring,28.032605692180162
2022-11-08,censoring,71.96739430781984
2022-11-09,non-censoring,28.761245674740483
2022-11-09,censoring,71.2387543252595
2022-11-10,non-censoring,29.763714246234628
2022-11-10,censoring,70.23628575376537
2022-11-11,non-censoring,29.60243801080482
2022-11-11,censoring,70.39756198919518
2022-11-12,non-censoring,25.361221962295303
2022-11-12,censoring,74.6387780377047
2022-11-13,non-censoring,28.22280435681787
2022-11-13,censoring,71.77719564318214
2022-11-14,non-censoring,24.533775383340238
2022-11-14,censoring,75.46622461665976
2022-11-15,non-censoring,27.276495785546494
2022-11-15,censoring,72.7235042144535
2022-11-16,non-censoring,26.152359922715977
2022-11-16,censoring,73.84764007728401
2022-11-17,non-censoring,27.058336781133637
2022-11-17,censoring,72.94166321886635
2022-11-18,non-censoring,27.927182457592053
2022-11-18,censoring,72.07281754240795
2022-11-19,non-censoring,25.699324789858068
2022-11-19,censoring,74.30067521014193
2022-11-20,non-censoring,23.695111847555925
2022-11-20,censoring,76.30488815244408
2022-11-21,non-censoring,22.22838137472284
2022-11-21,censoring,77.77161862527716
2022-11-22,non-censoring,25.145228215767634
