date,censoring,Share_of_Blocks
2022-09-16,non-censoring,84.43675889328063
2022-09-16,censoring,15.563241106719367
2022-09-17,non-censoring,65.90623315969104
2022-09-17,censoring,34.093766840308966
2022-09-18,non-censoring,88.17610062893083
2022-09-18,censoring,11.823899371069183
2022-09-19,non-censoring,85.79773640014604
2022-09-19,censoring,14.202263599853962
2022-09-20,non-censoring,85.82548877624909
2022-09-20,censoring,14.174511223750905
2022-09-21,non-censoring,85.34718425369054
2022-09-21,censoring,14.652815746309459
2022-09-22,non-censoring,85.77118030412745
2022-09-22,censoring,14.228819695872556
2022-09-23,non-censoring,88.50348650098337
2022-09-23,censoring,11.496513499016627
2022-09-24,non-censoring,91.5846994535519
2022-09-24,censoring,8.415300546448087
2022-09-25,non-censoring,90.6034169392948
2022-09-25,censoring,9.396583060705197
2022-09-26,non-censoring,91.01753117657691
2022-09-26,censoring,8.982468823423098
2022-09-27,non-censoring,91.4046883518081
2022-09-27,censoring,8.595311648191895
2022-09-28,non-censoring,91.8234442836469
2022-09-28,censoring,8.17655571635311
2022-09-29,non-censoring,92.09597741707833
2022-09-29,censoring,7.904022582921666
2022-09-30,non-censoring,91.93068440399091
2022-09-30,censoring,8.069315596009103
2022-10-01,non-censoring,92.87870715681052
2022-10-01,censoring,7.121292843189487
2022-10-02,non-censoring,94.0633484162896
2022-10-02,censoring,5.9366515837104075
2022-10-03,non-censoring,94.37031621275818
2022-10-03,censoring,5.62968378724182
2022-10-04,non-censoring,93.8481197517342
2022-10-04,censoring,6.15188024826579
2022-10-05,non-censoring,92.75786393562547
2022-10-05,censoring,7.2421360643745425
2022-10-06,non-censoring,92.94506705860739
2022-10-06,censoring,7.054932941392614
2022-10-07,non-censoring,92.83121597096189
2022-10-07,censoring,7.168784029038113
2022-10-08,non-censoring,93.83122826285924
2022-10-08,censoring,6.168771737140765
2022-10-09,non-censoring,94.55139847439156
2022-10-09,censoring,5.448601525608427
2022-10-10,non-censoring,93.52478507408085
2022-10-10,censoring,6.475214925919151
2022-10-11,non-censoring,94.39441279176623
2022-10-11,censoring,5.60558720823378
2022-10-12,non-censoring,93.64820846905538
2022-10-12,censoring,6.351791530944626
2022-10-13,non-censoring,93.8897981451173
2022-10-13,censoring,6.110201854882706
2022-10-14,non-censoring,93.37556561085972
2022-10-14,censoring,6.624434389140271
2022-10-15,non-censoring,93.88878693338228
2022-10-15,censoring,6.1112130666177285
2022-10-16,non-censoring,93.85555156306144
2022-10-16,censoring,6.144448436938556
2022-10-17,non-censoring,93.70705244122965
2022-10-17,censoring,6.292947558770344
2022-10-18,non-censoring,93.18553516263856
2022-10-18,censoring,6.814464837361439
2022-10-19,non-censoring,93.24886877828055
2022-10-19,censoring,6.751131221719457
2022-10-20,non-censoring,93.4608378870674
2022-10-20,censoring,6.539162112932605
2022-10-21,non-censoring,93.71011850501367
2022-10-21,censoring,6.289881494986327
2022-10-22,non-censoring,93.85342789598108
2022-10-22,censoring,6.1465721040189125
2022-10-23,non-censoring,93.0955324033198
2022-10-23,censoring,6.904467596680205
2022-10-24,non-censoring,93.20898225280695
2022-10-24,censoring,6.791017747193045
2022-10-25,non-censoring,92.74281556929793
2022-10-25,censoring,7.257184430702074
2022-10-26,non-censoring,92.79714030384272
2022-10-26,censoring,7.202859696157284
2022-10-27,non-censoring,84.67785598267461
2022-10-27,censoring,15.322144017325392
2022-10-28,non-censoring,84.77628228446707
2022-10-28,censoring,15.223717715532922
2022-10-29,non-censoring,84.20957542908762
2022-10-29,censoring,15.790424570912375
2022-10-30,non-censoring,85.10371959942775
2022-10-30,censoring,14.896280400572245
2022-10-31,non-censoring,85.12635379061372
2022-10-31,censoring,14.873646209386282
2022-11-01,non-censoring,85.77593957921236
2022-11-01,censoring,14.224060420787628
2022-11-02,non-censoring,83.35435056746532
2022-11-02,censoring,16.64564943253468
2022-11-03,non-censoring,84.96308301818837
2022-11-03,censoring,15.036916981811633
2022-11-04,non-censoring,85.38096974115932
2022-11-04,censoring,14.619030258840684
2022-11-05,non-censoring,85.28615273515075
2022-11-05,censoring,14.71384726484925
2022-11-06,non-censoring,85.05370471509194
2022-11-06,censoring,14.946295284908064
2022-11-07,non-censoring,85.50567874526772
2022-11-07,censoring,14.494321254732286
2022-11-08,non-censoring,85.02266545784225
2022-11-08,censoring,14.977334542157752
2022-11-09,non-censoring,84.3963963963964
2022-11-09,censoring,15.603603603603602
2022-11-10,non-censoring,83.34841628959276
2022-11-10,censoring,16.651583710407238
2022-11-11,non-censoring,84.86722444525282
2022-11-11,censoring,15.13277555474718
2022-11-12,non-censoring,85.19653804543815
2022-11-12,censoring,14.803461954561847
2022-11-13,non-censoring,84.8589001447178
2022-11-13,censoring,15.1410998552822
2022-11-14,non-censoring,84.40116490717145
2022-11-14,censoring,15.598835092828539
2022-11-15,non-censoring,87.66174594496081
2022-11-15,censoring,12.338254055039185
2022-11-16,non-censoring,87.61648745519713
2022-11-16,censoring,12.383512544802867
2022-11-17,non-censoring,87.63110307414105
2022-11-17,censoring,12.36889692585895
2022-11-18,non-censoring,87.5
2022-11-18,censoring,12.5
2022-11-19,non-censoring,88.12149701681432
2022-11-19,censoring,11.878502983185681
2022-11-20,non-censoring,88.21493624772313
2022-11-20,censoring,11.785063752276868
2022-11-21,non-censoring,88.13961988304094
2022-11-21,censoring,11.860380116959064
2022-11-22,non-censoring,87.99708135716891
2022-11-22,censoring,12.002918642831084
2022-11-23,non-censoring,87.83117120409281
2022-11-23,censoring,12.16882879590718
2022-11-24,non-censoring,88.42826243691421
2022-11-24,censoring,11.571737563085795
2022-11-25,non-censoring,88.52639296187684
2022-11-25,censoring,11.473607038123166
2022-11-26,non-censoring,96.7084924531733
2022-11-26,censoring,3.2915075468266957
2022-11-27,non-censoring,96.60588553890594
2022-11-27,censoring,3.3941144610940603
2022-11-28,non-censoring,96.21485219899063
2022-11-28,censoring,3.7851478010093724
2022-11-29,non-censoring,96.84725493748869
2022-11-29,censoring,3.1527450625113245
2022-11-30,non-censoring,96.3669391462307
2022-11-30,censoring,3.633060853769301
2022-12-01,non-censoring,96.3570784490532
2022-12-01,censoring,3.642921550946799
2022-12-02,non-censoring,96.48932319942092
2022-12-02,censoring,3.510676800579081
2022-12-03,non-censoring,96.48387684459829
2022-12-03,censoring,3.5161231554017123
2022-12-04,non-censoring,96.65226781857451
2022-12-04,censoring,3.3477321814254863
2022-12-05,non-censoring,96.4512040557668
2022-12-05,censoring,3.5487959442332064
2022-12-06,non-censoring,96.09473874525403
2022-12-06,censoring,3.905261254745977
2022-12-07,non-censoring,96.77596629419307
2022-12-07,censoring,3.2240337058069244
2022-12-08,non-censoring,95.11525795828759
2022-12-08,censoring,4.884742041712404
2022-12-09,non-censoring,97.0192657215558
2022-12-09,censoring,2.9807342784442024
2022-12-10,non-censoring,96.8595041322314
2022-12-10,censoring,3.1404958677685952
2022-12-11,non-censoring,98.23529411764706
2022-12-11,censoring,1.7647058823529411
2022-12-12,non-censoring,98.43636363636364
2022-12-12,censoring,1.5636363636363635
2022-12-13,non-censoring,88.64835364744405
2022-12-13,censoring,11.35164635255594
2022-12-14,non-censoring,84.33778419343197
2022-12-14,censoring,15.662215806568025
2022-12-15,non-censoring,84.65482512360374
2022-12-15,censoring,15.345174876396264
2022-12-16,non-censoring,84.8258252781324
2022-12-16,censoring,15.174174721867592
