validator,non_censored_blocks,all_blocks,share
zhengyabin.eth,1,1,100.0
papacoins.eth,1,1,100.0
nbm.eth,4,4,100.0
leftclickyield.eth,1,1,100.0
critterdepot.eth,1,1,100.0
sharedstake,1,3,33.33333333333333
proofofsoy.eth,2,6,33.33333333333333
malachite🟢️.eth,1,3,33.33333333333333
malachite🟢.eth,1,3,33.33333333333333
lludo.eth,1,3,33.33333333333333
dcposch.eth,1,3,33.33333333333333
dsommer.eth,1,4,25.0
deepspacechase.eth,1,4,25.0
edrews.eth,1,6,16.666666666666664
chorus one,2,13,15.384615384615385
hord,4,31,12.903225806451612
katto.eth,2,17,11.76470588235294
scg.eth,1,10,10.0
node dao,5,54,9.25925925925926
bitshameddesk.eth,7,76,9.210526315789473
mintdice.com,3,35,8.571428571428571
blox staking,1,12,8.333333333333332
ibeli.eth,1,13,7.6923076923076925
kelp dao,106,1488,7.123655913978495
rockx,12,176,6.8181818181818175
bitgo,6,101,5.9405940594059405
frax finance,41,777,5.276705276705277
coinspot,32,634,5.047318611987381
coinspiracy.eth,1,20,5.0
bitpie,2,40,5.0
Gateway.fm AS,80,1633,4.898958971218616
greedland.eth,1,21,4.761904761904762
sigma prime team,2,43,4.651162790697675
kiln,826,17838,4.630563964570019
HashQuark,105,2280,4.605263157894736
Nethermind,108,2365,4.5665961945031714
liquid collective,46,1013,4.54096742349457
Develp GmbH,72,1601,4.497189256714553
Blockdaemon,70,1562,4.481434058898848
kraken,421,9599,4.385873528492551
Staking Facilities,74,1714,4.3173862310385065
SenseiNode,68,1581,4.301075268817205
Blockscape,65,1536,4.231770833333334
CryptoManufaktur,90,2131,4.2233693101830125
Prysmatic Labs,93,2211,4.2062415196743554
ParaFi Technologies LLC,95,2260,4.20353982300885
Chorus One,82,1961,4.181540030596635
blockdaemon,156,3734,4.177825388323514
ether.fi,1049,25128,4.1746259153135945
amiga500.eth,1,24,4.166666666666666
celsius,157,3785,4.147952443857331
figment,432,10445,4.1359502154140735
okx,216,5225,4.133971291866029
A41,101,2450,4.122448979591837
Figment,86,2090,4.114832535885168
binance,993,24228,4.098563645368994
stakefish,200,4899,4.082465809348847
ConsenSys Codefi,99,2434,4.067378800328677
RockawayX Infra,73,1799,4.05780989438577
upbit,187,4644,4.026701119724375
