timestamp,relay,slot
2022-09-16,Other/None,5884
2022-09-17,Other/None,5752
2022-09-19,Other/None,5690
2022-09-18,Other/None,5667
2022-09-20,Other/None,5390
2022-09-21,Other/None,5129
2022-09-22,Other/None,5050
2022-11-11,flashbots,5044
2022-11-20,flashbots,5031
2022-11-13,flashbots,4966
2022-11-27,flashbots,4883
2022-11-24,flashbots,4877
2022-11-12,flashbots,4813
2022-11-04,flashbots,4812
2022-11-22,flashbots,4804
2022-11-05,flashbots,4796
2022-11-26,flashbots,4794
2022-11-15,flashbots,4778
2022-11-06,flashbots,4770
2022-11-10,flashbots,4751
2022-11-21,flashbots,4746
2023-01-22,flashbots,4739
2022-09-23,Other/None,4738
2022-11-19,flashbots,4737
2022-11-23,flashbots,4735
2022-11-28,flashbots,4725
2022-11-18,flashbots,4723
2022-11-08,flashbots,4716
2022-11-09,flashbots,4690
2022-11-14,flashbots,4683
2022-09-24,Other/None,4664
2022-11-03,flashbots,4649
2023-01-21,flashbots,4645
2022-09-25,Other/None,4637
2022-11-25,flashbots,4616
2022-11-30,flashbots,4603
2022-12-01,flashbots,4591
2022-09-15,Other/None,4568
2022-11-07,flashbots,4560
2022-12-02,flashbots,4560
2022-11-16,flashbots,4556
2023-01-23,flashbots,4551
2022-12-17,flashbots,4483
2022-12-26,flashbots,4476
2022-09-26,Other/None,4469
2023-01-09,flashbots,4455
2023-01-14,flashbots,4449
2022-11-17,flashbots,4445
2022-12-25,flashbots,4442
2022-12-03,flashbots,4432
2022-11-29,flashbots,4418
2023-01-20,flashbots,4415
2022-12-24,flashbots,4414
2022-11-02,flashbots,4405
2023-01-08,flashbots,4402
2023-01-06,flashbots,4394
2023-01-07,flashbots,4391
2022-12-05,flashbots,4373
2022-09-27,Other/None,4369
2023-01-13,flashbots,4369
2022-12-06,flashbots,4354
2022-12-23,flashbots,4345
2023-01-05,flashbots,4336
2022-12-27,flashbots,4315
2023-01-04,flashbots,4313
2022-12-28,flashbots,4310
2023-01-10,flashbots,4301
2022-10-28,flashbots,4288
2022-12-04,flashbots,4285
2023-01-15,flashbots,4285
2023-01-16,flashbots,4284
2023-01-17,flashbots,4261
2022-10-29,flashbots,4246
2023-01-12,flashbots,4229
2022-11-01,flashbots,4214
2023-01-18,flashbots,4214
2022-12-18,flashbots,4211
2022-12-31,flashbots,4208
2022-10-27,flashbots,4199
2023-01-01,flashbots,4197
2023-01-28,flashbots,4194
2022-10-30,flashbots,4191
2023-01-29,flashbots,4190
2022-10-26,flashbots,4185
2022-10-31,flashbots,4181
2023-01-11,flashbots,4148
2023-01-24,flashbots,4142
2023-01-19,flashbots,4129
2022-12-30,flashbots,4120
2022-09-28,Other/None,4114
2022-12-14,flashbots,4105
2022-12-29,flashbots,4100
2023-01-03,flashbots,4098
2023-02-02,flashbots,4089
2022-09-29,Other/None,4087
2023-01-02,flashbots,4081
2023-01-30,flashbots,4070
2022-10-25,flashbots,4049
2023-01-25,flashbots,4037
2023-01-27,flashbots,4021
2022-12-19,flashbots,4016
2022-12-13,flashbots,4014
2022-12-16,flashbots,3992
2022-12-08,flashbots,3964
2022-12-21,flashbots,3951
2023-02-01,flashbots,3935
2022-12-07,flashbots,3920
2022-10-03,Other/None,3898
2022-10-02,Other/None,3884
2022-09-30,Other/None,3881
2022-12-22,flashbots,3855
2022-12-15,flashbots,3851
2022-10-04,Other/None,3850
2022-10-22,flashbots,3838
2022-10-01,Other/None,3835
2022-12-10,flashbots,3776
2022-10-23,flashbots,3775
2023-01-31,flashbots,3768
2022-10-05,Other/None,3741
2022-12-11,flashbots,3739
2022-10-06,Other/None,3738
2022-12-20,flashbots,3728
2022-12-12,flashbots,3712
2023-02-05,flashbots,3681
2022-10-07,Other/None,3677
2022-10-08,Other/None,3676
2022-10-21,flashbots,3671
2022-10-09,Other/None,3663
2023-02-09,flashbots,3648
2023-02-03,flashbots,3644
2022-10-24,flashbots,3626
