validator,non_censored_blocks,all_blocks,share
tetranode,1,2,50.0
prysm team,3,37,8.108108108108109
teku team,3,39,7.6923076923076925
sharedstake,3,76,3.9473684210526314
Sigma Prime,104,2685,3.8733705772811917
rockx,1,28,3.571428571428571
Prysmatic Labs,83,2698,3.0763528539659006
infstones,8,273,2.93040293040293
BridgeTower,77,2831,2.719886965736489
nimbus team,1,40,2.5
tokenpocket,2,87,2.2988505747126435
sigma prime team,1,44,2.272727272727273
ChainSafe,92,4103,2.2422617596880334
kucoin,10,451,2.2172949002217295
coinbase,481,21735,2.2130204738900394
P2P.ORG - P2P Validator,78,3605,2.163661581137309
Attestant (BVI) Limited,82,3877,2.115037400051586
bitstamp,24,1167,2.056555269922879
stakewise solos,1,49,2.0408163265306123
Blockscape,82,4018,2.0408163265306123
Stakin,115,5636,2.040454222853087
Allnodes,143,7049,2.028656547027947
bitfinex,7,349,2.005730659025788
Kukis Global,64,3220,1.9875776397515528
ConsenSys Codefi,109,5488,1.9861516034985423
CryptoManufaktur,56,2822,1.984408221119773
stafi,2,102,1.9607843137254901
staked.us,216,11038,1.9568762456966842
HashQuark,105,5416,1.9387001477104875
bitcoin suisse,188,9702,1.937744794887652
Everstake,137,7129,1.9217281526160752
kraken,233,12294,1.8952334472100212
poloniex,7,373,1.876675603217158
ChainLayer,49,2619,1.8709431080565102
Staking Facilities,70,3748,1.8676627534685166
stakefish,524,28593,1.8326163746371489
stakewise,18,1015,1.7733990147783252
Chorus One,50,2942,1.699524133242692
abyss finance,107,6347,1.6858358279502126
cake defi,4,240,1.6666666666666667
InfStones,87,5260,1.6539923954372624
lido,26,1591,1.6341923318667504
binance,280,17608,1.590186278964107
frax finance,49,3215,1.5241057542768273
okx,118,7869,1.4995552166730206
Nethermind,94,6371,1.4754355674148485
p2p.org,28,1942,1.4418125643666324
Simply Staking,81,5660,1.431095406360424
stakehound,22,1539,1.4294996751137101
SkillZ,79,5876,1.3444520081688223
Stakely,91,7376,1.2337310195227764
DSRV,87,7134,1.2195121951219512
stkr,5,420,1.1904761904761905
rocketpool,110,9638,1.1413156256484747
huobi,8,717,1.1157601115760112
RockLogic GmbH,53,4830,1.0973084886128364
wex exchange,3,289,1.0380622837370241
RockX,34,3699,0.9191673425250066
swell,5,805,0.6211180124223602
figment,75,12487,0.600624649635621
everstake pool,1,168,0.5952380952380952
Blockdaemon,3,2650,0.11320754716981132
Figment,1,3011,0.033211557622052475
staked.finance,0,7,0.0
ssv.network,0,2,0.0
node dao,0,51,0.0
neukind.com,0,7,0.0
mycoldwallet,0,1,0.0
missed,0,1283,0.0
mintdice.com,0,17,0.0
harbour,0,118,0.0
ethereum hive,0,16,0.0
cryptostake.com,0,54,0.0
celsius,0,1417,0.0
boxfish.studio,0,1,0.0
blox staking,0,17,0.0
bitpie,0,121,0.0
SenseiNode,0,2,0.0
Certus One,0,284,0.0
Anyblock Analytics,0,4,0.0
