timestamp,validator,slot
2022-09-28,coinbase,1136
2022-09-22,coinbase,1099
2022-10-15,coinbase,1097
2022-10-24,coinbase,1095
2022-09-16,coinbase,1094
2022-11-07,coinbase,1091
2022-09-27,coinbase,1089
2022-10-21,coinbase,1081
2022-10-19,coinbase,1074
2022-11-08,coinbase,1069
2022-10-02,coinbase,1064
2022-10-03,coinbase,1064
2022-09-29,coinbase,1063
2022-10-17,coinbase,1060
2022-10-06,coinbase,1060
2022-10-23,coinbase,1059
2022-09-26,coinbase,1056
2022-10-11,coinbase,1053
2022-11-20,coinbase,1053
2022-10-31,coinbase,1052
2022-09-21,coinbase,1052
2022-10-08,coinbase,1051
2022-09-17,coinbase,1050
2022-09-19,coinbase,1050
2022-10-22,coinbase,1047
2022-10-14,coinbase,1047
2022-10-25,coinbase,1047
2022-11-12,coinbase,1046
2022-10-12,coinbase,1045
2022-10-13,coinbase,1043
2022-10-04,coinbase,1042
2022-09-24,coinbase,1042
2022-09-18,coinbase,1037
2022-09-25,coinbase,1036
2022-11-15,coinbase,1034
2022-10-30,coinbase,1026
2022-11-10,coinbase,1025
2022-10-18,coinbase,1021
2022-10-28,coinbase,1019
2022-10-10,coinbase,1019
2022-10-16,coinbase,1018
2022-10-20,coinbase,1018
2022-12-12,coinbase,1017
2022-10-29,coinbase,1015
2022-11-18,coinbase,1013
2022-09-23,coinbase,1012
2022-10-26,coinbase,1010
2022-09-30,coinbase,1010
2022-11-11,coinbase,1009
2022-11-01,coinbase,1009
2022-10-07,coinbase,1009
2022-11-02,coinbase,1004
2022-10-05,coinbase,1001
2022-12-22,coinbase,1001
2022-09-20,coinbase,1001
2022-11-14,coinbase,1001
2022-11-04,coinbase,1000
2022-10-09,coinbase,999
2022-11-23,coinbase,997
2022-12-31,coinbase,995
2022-11-24,coinbase,993
2022-12-10,coinbase,992
2023-01-21,coinbase,992
2022-11-16,coinbase,991
2022-11-06,coinbase,990
2022-11-27,coinbase,990
2022-12-05,coinbase,986
2023-01-10,coinbase,985
2022-11-05,coinbase,985
2022-11-29,coinbase,984
2022-10-27,coinbase,983
2022-11-03,coinbase,981
2022-12-06,coinbase,980
2022-12-30,coinbase,980
2023-01-20,coinbase,979
2023-01-09,coinbase,978
2022-10-01,coinbase,976
2022-11-30,coinbase,976
2022-12-18,coinbase,976
2022-11-21,coinbase,975
2022-12-08,coinbase,973
2022-12-17,coinbase,972
2023-01-17,coinbase,971
2022-11-09,coinbase,968
2022-12-13,coinbase,967
2022-12-15,coinbase,966
2022-11-17,coinbase,965
2023-02-03,coinbase,964
2023-01-04,coinbase,964
2022-12-11,coinbase,964
2022-12-26,coinbase,963
2022-12-16,coinbase,961
2022-12-07,coinbase,960
2022-12-09,coinbase,960
2022-12-02,coinbase,959
2023-01-22,coinbase,959
2022-12-19,coinbase,957
2023-02-13,coinbase,955
2023-02-18,coinbase,954
2022-12-27,coinbase,954
2022-11-26,coinbase,954
2023-01-01,coinbase,953
2023-02-28,coinbase,950
2023-01-08,coinbase,949
2022-12-24,coinbase,949
2022-11-28,coinbase,948
2022-12-01,coinbase,946
2023-01-23,coinbase,944
2023-01-13,coinbase,944
2023-02-20,coinbase,942
2022-12-23,coinbase,941
2022-12-03,coinbase,941
2023-01-28,coinbase,941
2022-12-28,coinbase,940
2022-12-25,coinbase,939
2022-12-29,coinbase,938
2023-01-07,coinbase,938
2023-02-01,coinbase,937
2022-11-19,coinbase,936
2023-01-02,coinbase,935
2022-12-14,coinbase,935
2023-01-15,coinbase,934
2023-02-19,coinbase,932
2023-01-12,coinbase,929
2023-02-05,coinbase,928
2023-02-02,coinbase,927
2022-12-04,coinbase,925
2023-01-18,coinbase,924
2023-01-26,coinbase,923
2022-11-25,coinbase,922
2022-11-22,coinbase,920
2023-01-11,coinbase,920
2023-02-08,coinbase,920
2023-02-04,coinbase,919
2023-01-03,coinbase,918
2023-01-05,coinbase,916
2023-02-14,coinbase,914
2022-12-21,coinbase,912
2023-02-12,coinbase,911
2023-01-27,coinbase,911
2023-02-09,coinbase,910
2023-01-06,coinbase,910
2022-12-20,coinbase,910
2022-11-13,coinbase,909
2023-01-16,coinbase,909
2023-01-31,coinbase,909
2023-02-27,coinbase,906
2023-03-05,coinbase,905
2023-02-26,coinbase,905
2023-01-25,coinbase,904
2023-01-14,coinbase,899
2023-02-24,coinbase,898
2023-01-24,coinbase,894
2023-02-25,coinbase,894
2023-02-10,coinbase,892
2023-01-19,coinbase,889
2023-02-17,coinbase,889
2023-02-21,coinbase,889
2023-01-30,coinbase,887
2023-03-04,coinbase,884
2023-02-15,coinbase,883
2023-01-29,coinbase,883
2023-04-05,coinbase,882
2023-03-29,coinbase,879
2023-02-11,coinbase,877
2023-02-22,coinbase,873
2023-02-16,coinbase,872
2023-03-10,coinbase,871
2023-02-06,coinbase,869
2023-03-02,coinbase,869
2023-03-08,coinbase,868
2023-02-23,coinbase,867
2023-03-21,coinbase,866
2023-03-15,coinbase,862
2023-03-25,coinbase,862
2023-03-06,coinbase,861
2023-02-07,coinbase,860
2023-04-21,coinbase,860
